k_set_starting_wages;czas obliczeñ;najwiêksza liczba u¿ytych wyrazów;iteracja uzyskania nalepszego wyniku;œrednie wykorzystanie s³ów przy odnalezieniu najlepszego rozwi¹zania
1;65,78927557;184,6;108,9;134,12
2;67,83459454;292,1;33,9;252,453
3;56,57288804;299,9;19,8;264,788
4;58,53163502;300;20,8;265,774
5;58,50241761;300;20,6;268,061
7;60,92144501;300;22,5;266,197
9;53,23044631;298,7;15,7;265,402
12;56,3958606;299,2;18,4;266,027
15;42,62462676;296,4;6,5;264,352
20;47,50565486;297,2;10,8;264,458
