part_of_the_best_sequences;czas obliczeñ;najwiêksza liczba u¿ytych wyrazów;iteracja uzyskania nalepszego wyniku;œrednie wykorzystanie s³ów przy odnalezieniu najlepszego rozwi¹zania
0,01;81,35312049;300;42,7;262,602
0,05;61,5491797;299,6;24,1;264,21
0,1;51,98372579;299,9;15,3;264,326
0,15;49,29262483;299,5;12,8;264,753
0,2;51,6922703;300;14,7;265,614
0,35;47,37980921;300;11;264,431
0,5;55,18987761;300;17,4;265,364
0,65;46,98949163;300;10,5;264,855
0,8;48,17010498;300;11,5;263,817
1;51,46104951;299,6;14,5;262,855
