Numer iteracji;best_price_for_sequence = 1.01;best_price_for_sequence = 1.05;best_price_for_sequence = 1.1;best_price_for_sequence = 1.2;best_price_for_sequence = 1.4;best_price_for_sequence = 1.7;best_price_for_sequence = 2;best_price_for_sequence = 2.5;best_price_for_sequence = 3;best_price_for_sequence = 4;;Numer iteracji;best_price_for_sequence = 1.01;best_price_for_sequence = 1.05;best_price_for_sequence = 1.1;best_price_for_sequence = 1.2;best_price_for_sequence = 1.4;best_price_for_sequence = 1.7;best_price_for_sequence = 2;best_price_for_sequence = 2.5;best_price_for_sequence = 3;best_price_for_sequence = 4
1;206.80800000000005;207.30700000000002;206.902;207.44500000000002;206.356;207.019;207.64300000000003;207.11200000000002;207.267;207.71999999999997;;1;243.2;244.3;245.4;242.6;242.9;243.2;244.0;244.6;245.0;242.6
2;212.984;231.72600000000003;246.68699999999998;257.58299999999997;255.59199999999996;251.356;251.61700000000002;252.089;253.21200000000005;253.74900000000002;;2;250.4;268.1;281.5;292.3;290.6;285.0;287.4;289.9;290.0;288.5
3;218.473;251.45600000000005;260.796;263.133;259.014;255.94;257.102;256.64300000000003;258.73400000000004;258.258;;3;252.9;287.0;295.3;296.2;294.1;291.4;292.2;291.1;293.1;290.5
4;225.531;260.389;263.21199999999993;263.77200000000005;259.71000000000004;257.01800000000003;257.717;258.083;259.63199999999995;260.949;;4;261.5;293.4;296.2;296.5;294.8;292.6;292.8;293.1;293.6;291.9
5;231.98900000000003;261.825;262.729;263.60299999999995;260.052;259.00199999999995;257.791;259.368;262.47499999999997;263.001;;5;268.7;295.6;295.7;296.3;295.1;292.7;292.5;293.2;293.3;292.8
6;236.119;262.61699999999996;263.191;263.17699999999996;261.06;259.793;260.06100000000004;261.775;263.437;263.304;;6;273.9;295.7;296.0;296.6;295.0;293.1;293.1;293.4;293.2;294.1
7;240.98600000000002;263.81499999999994;262.63800000000003;263.734;260.62800000000004;259.332;261.296;262.574;266.187;265.412;;7;276.5;296.2;296.3;295.8;293.9;292.4;293.4;293.3;293.1;291.5
8;245.368;263.315;262.952;263.92300000000006;260.611;260.87899999999996;261.615;264.382;267.066;266.18600000000004;;8;281.7;295.9;295.8;296.0;294.7;292.2;291.5;293.2;293.2;291.6
9;248.211;263.86699999999996;262.23999999999995;262.504;261.373;260.534;262.92199999999997;264.19399999999996;268.2660000000001;267.599;;9;285.3;296.4;296.2;297.1;294.6;292.7;292.7;293.0;293.1;292.6
10;250.80299999999997;263.233;263.119;263.211;261.829;261.766;264.279;265.26;270.196;269.32;;10;287.3;296.0;295.9;295.6;293.9;292.8;292.2;293.2;293.6;292.6
11;254.267;264.37399999999997;263.34799999999996;263.79400000000004;261.679;263.337;264.55699999999996;265.39099999999996;272.088;269.908;;11;288.8;296.3;296.8;295.9;294.6;292.6;293.4;292.9;293.6;292.3
12;256.825;262.96799999999996;263.96799999999996;264.22999999999996;261.62;262.896;266.111;266.521;272.617;271.21;;12;291.8;296.3;296.0;296.8;294.9;291.5;292.2;293.2;292.6;290.7
13;257.929;263.84099999999995;262.81100000000004;263.257;261.553;264.6139999999999;266.193;267.85600000000005;274.213;271.77699999999993;;13;292.6;296.8;296.8;297.0;294.5;291.8;291.8;292.4;294.2;291.4
14;259.448;263.32800000000003;264.528;263.67400000000004;262.565;264.317;266.745;268.943;275.026;272.863;;14;293.3;295.5;296.8;296.2;294.3;292.9;292.0;291.5;293.4;291.8
15;260.722;263.7780000000001;262.67600000000004;263.726;264.016;264.858;267.448;271.7320000000001;275.89700000000005;273.765;;15;294.5;296.3;296.8;297.1;295.0;293.0;292.4;292.0;292.8;291.0
16;261.456;263.658;264.831;264.706;263.25300000000004;266.18;267.66;272.54200000000003;275.40000000000003;274.662;;16;295.5;296.0;297.2;296.5;294.3;292.4;291.9;291.7;293.1;290.5
17;261.629;263.82800000000003;263.183;264.991;262.497;265.271;270.428;273.58000000000004;275.654;274.3950000000001;;17;295.5;296.1;296.4;296.3;294.1;291.6;291.4;292.9;293.1;291.5
18;262.46099999999996;263.77200000000005;263.578;263.4889999999999;263.17400000000004;265.45199999999994;270.732;274.165;275.666;275.02000000000004;;18;295.3;296.3;296.4;296.4;293.8;292.0;291.6;291.8;292.3;292.4
19;262.313;262.89399999999995;263.177;265.1940000000001;264.30800000000005;266.259;272.00699999999995;275.648;276.696;275.046;;19;295.9;295.8;296.4;296.0;293.6;292.7;291.9;292.1;293.3;291.1
20;262.822;261.62199999999996;263.009;263.603;265.186;267.11899999999997;272.70500000000004;276.845;276.21799999999996;275.284;;20;295.9;295.8;296.8;296.6;294.4;292.1;292.2;292.3;292.4;291.8
21;264.19500000000005;263.844;263.81000000000006;265.221;265.18000000000006;268.136;272.2099999999999;276.459;277.05699999999996;275.874;;21;297.0;296.0;297.1;295.6;294.9;292.4;292.0;293.4;293.2;291.8
22;263.844;264.61800000000005;262.36199999999997;265.137;265.093;268.296;272.157;276.603;276.775;274.653;;22;295.4;296.4;296.4;295.9;294.2;292.0;292.4;292.2;293.2;292.4
23;262.992;264.218;262.39300000000003;265.67199999999997;265.44100000000003;268.48;273.13399999999996;277.11800000000005;276.03200000000004;275.227;;23;295.6;296.0;297.2;296.7;294.0;292.0;290.8;292.1;293.1;292.4
24;263.24199999999996;262.877;263.70200000000006;266.28200000000004;267.361;268.08000000000004;273.428;277.934;277.353;275.32;;24;295.8;296.3;295.9;296.7;294.8;291.5;291.9;292.1;292.2;291.6
