best_price_for_sequence;czas obliczeñ;najwiêksza liczba u¿ytych wyrazów;iteracja uzyskania nalepszego wyniku;œrednie wykorzystanie s³ów przy odnalezieniu najlepszego rozwi¹zania
1,01;62,02055445;299,8;24,6;263,67
1,05;62,12925406;300;24,2;264,433
1,1;50,56646109;300;13,8;263,416
1,2;47,04697282;299,6;10,4;263,397
1,4;60,15723815;298;21,4;264,568
1,7;50,41740258;296,5;12,8;262,913
2;52,03895247;296,1;13,9;265,518
2,5;51,37069204;296,3;13;269,033
3;51,121825;296,6;12,6;269,681
4;57,50659158;296,5;18;270,41
