Numer iteracji;compensation_coef = 0.5;compensation_coef = 0.7;compensation_coef = 0.8;compensation_coef = 0.85;compensation_coef = 0.9;compensation_coef = 0.92;compensation_coef = 0.95;compensation_coef = 0.97;compensation_coef = 0.98;compensation_coef = 0.99;;Numer iteracji;compensation_coef = 0.5;compensation_coef = 0.7;compensation_coef = 0.8;compensation_coef = 0.85;compensation_coef = 0.9;compensation_coef = 0.92;compensation_coef = 0.95;compensation_coef = 0.97;compensation_coef = 0.98;compensation_coef = 0.99
1;207.23499999999996;207.308;207.14900000000003;207.04000000000002;207.11100000000002;207.31299999999996;207.169;206.75699999999998;207.88400000000001;207.02300000000005;;1;248.0;242.7;241.5;242.4;240.9;244.1;244.5;243.2;244.7;247.1
2;247.125;245.99000000000007;246.45;245.57100000000005;245.10700000000003;245.81299999999996;246.51;245.68699999999998;246.65;247.07800000000003;;2;283.5;282.4;283.5;281.0;282.8;281.0;284.2;282.8;282.9;283.1
3;261.002;260.344;261.004;259.799;261.202;260.90099999999995;260.57800000000003;260.872;261.004;260.764;;3;295.7;294.3;295.6;294.6;295.3;294.3;294.0;293.5;294.0;295.4
4;262.19399999999996;262.20200000000006;263.23;261.821;262.983;262.6429999999999;262.86299999999994;262.938;263.764;262.281;;4;295.4;296.2;296.5;295.3;296.3;296.2;295.7;295.9;296.2;296.1
5;263.349;261.747;262.46400000000006;262.36199999999997;262.79900000000004;262.64099999999996;261.78499999999997;263.15;263.376;263.49399999999997;;5;296.2;295.9;296.5;296.3;296.0;296.8;295.8;295.9;295.7;296.0
6;262.539;263.152;263.153;262.41499999999996;262.95799999999997;263.314;263.00300000000004;262.32;263.79100000000005;262.585;;6;296.1;296.3;297.0;296.0;296.4;296.6;296.0;296.0;297.0;295.8
7;262.865;262.493;263.288;261.83399999999995;263.07599999999996;262.773;262.852;262.14199999999994;262.837;262.851;;7;296.4;296.0;296.3;296.0;295.9;296.3;296.0;296.4;295.4;295.9
8;262.866;262.97799999999995;262.98699999999997;262.98999999999995;261.9510000000001;262.948;262.78700000000003;264.48199999999997;263.233;262.40299999999996;;8;296.6;297.1;295.0;295.4;297.0;296.4;296.1;295.9;296.1;296.4
9;262.44;262.09000000000003;262.407;263.11199999999997;263.684;262.518;262.92299999999994;262.45700000000005;263.245;263.22799999999995;;9;296.7;295.1;296.4;296.4;296.8;296.0;296.3;295.8;296.4;296.4
10;263.054;262.829;263.22799999999995;263.012;262.40500000000003;262.552;263.903;263.555;263.82300000000004;263.569;;10;296.0;296.9;295.9;296.4;296.0;296.3;296.9;296.5;296.2;296.4
