compensation_coef;czas obliczeñ;najwiêksza liczba u¿ytych wyrazów;iteracja uzyskania nalepszego wyniku;œrednie wykorzystanie s³ów przy odnalezieniu najlepszego rozwi¹zania
0,5;53,73754687;300;16,4;263,294
0,7;52,90250542;300;15,8;263,092
0,8;52,51591022;300;15,3;263,488
0,85;51,92841823;300;14,8;262,621
0,9;48,7542805;300;12,3;262,998
0,92;47,51672616;299,5;11,2;263,178
0,95;53,36136844;300;16,2;264,866
0,97;54,8582289;300;17,4;263,577
0,98;49,74286313;300;13;263,035
0,99;48,92408721;300;12,3;264,034
