Numer iteracji;base_of_logarithm = 2;base_of_logarithm = 3;base_of_logarithm = 4;base_of_logarithm = 5;base_of_logarithm = 7;base_of_logarithm = 10;base_of_logarithm = 13;base_of_logarithm = 16;base_of_logarithm = 20;base_of_logarithm = 25;;Numer iteracji;base_of_logarithm = 2;base_of_logarithm = 3;base_of_logarithm = 4;base_of_logarithm = 5;base_of_logarithm = 7;base_of_logarithm = 10;base_of_logarithm = 13;base_of_logarithm = 16;base_of_logarithm = 20;base_of_logarithm = 25
1;207.731;207.142;206.467;207.929;207.292;207.214;207.37999999999997;207.046;208.262;206.87099999999995;;1;242.5;241.5;241.3;242.5;242.8;242.2;241.6;244.2;245.5;245.3
2;246.54699999999997;246.321;246.234;245.90599999999995;246.106;246.50400000000005;245.449;246.231;246.45699999999997;245.923;;2;283.4;281.9;281.2;281.2;284.1;280.8;281.0;282.7;283.2;280.7
3;261.95;259.247;258.71999999999997;260.304;260.32;260.252;259.4719999999999;259.32;260.264;260.113;;3;294.3;295.0;294.3;294.1;294.7;294.9;293.6;294.8;294.5;295.9
4;263.377;261.22999999999996;261.279;261.24199999999996;260.767;261.624;260.465;260.95700000000005;261.13499999999993;261.292;;4;295.9;294.7;295.8;296.0;294.9;295.9;295.5;295.8;296.1;296.6
5;262.973;261.688;261.29800000000006;262.15;261.63399999999996;260.894;260.09000000000003;260.035;260.037;261.767;;5;296.0;295.4;295.9;295.4;295.1;296.6;296.6;294.9;295.3;295.8
6;263.286;262.185;261.48199999999997;261.49899999999997;262.171;260.258;260.19899999999996;260.112;260.885;260.581;;6;296.8;297.3;296.7;295.8;296.3;295.4;295.8;295.1;296.2;295.9
7;264.356;262.70700000000005;261.878;261.768;260.579;261.262;260.804;261.68;260.24300000000005;261.976;;7;296.1;296.7;296.7;296.0;295.8;295.7;296.1;295.1;296.2;296.0
8;262.74000000000007;262.78900000000004;262.267;261.169;261.445;259.72;261.68500000000006;260.26300000000003;260.807;259.88;;8;296.9;296.9;296.0;296.8;296.4;296.2;295.8;296.7;296.1;294.9
9;263.69;261.73;262.161;261.492;260.47400000000005;261.85200000000003;260.89;260.952;261.248;262.024;;9;295.9;295.8;296.3;296.4;296.6;296.8;296.2;296.0;295.3;296.3
10;262.274;261.711;261.381;262.668;261.14300000000003;260.37399999999997;261.7420000000001;260.64099999999996;261.3639999999999;261.34700000000004;;10;296.3;296.4;296.0;296.2;297.1;296.6;295.7;296.0;295.9;296.4
11;263.299;262.572;262.37600000000003;262.33299999999997;261.561;261.582;261.67199999999997;261.09200000000004;260.315;261.86;;11;295.7;295.4;296.3;295.8;296.6;296.9;296.3;295.8;295.9;296.0
12;262.417;262.05;262.261;263.113;261.237;260.62;261.62;261.1820000000001;260.39500000000004;261.259;;12;295.7;296.0;295.2;296.3;295.9;295.6;296.8;295.8;296.4;296.4
13;262.747;261.91900000000004;262.425;261.25300000000004;261.245;261.125;261.36800000000005;260.957;261.865;261.215;;13;296.3;296.2;297.0;296.0;296.3;295.5;296.7;295.4;296.7;295.9
14;263.1820000000001;262.418;262.64700000000005;261.879;261.73299999999995;261.20500000000004;261.427;261.777;260.764;261.565;;14;296.4;295.8;296.0;296.1;296.5;296.8;296.2;297.0;295.7;296.1
15;263.503;261.939;262.079;262.229;259.92800000000005;260.251;261.373;259.658;260.962;262.20099999999996;;15;296.0;296.8;296.8;297.1;295.1;296.2;295.9;295.8;296.3;296.3
16;263.947;261.14;261.843;262.3759999999999;260.39399999999995;260.69899999999996;261.577;261.335;260.08;260.63200000000006;;16;296.8;296.7;295.9;296.3;295.9;296.2;295.9;296.7;295.8;295.7
17;262.377;261.986;261.78700000000003;262.423;261.33000000000004;260.33399999999995;260.402;260.562;261.871;261.866;;17;296.4;296.4;295.9;297.6;296.4;295.8;297.1;296.3;296.7;296.4
18;262.98699999999997;261.919;261.32800000000003;261.812;262.212;260.78100000000006;260.373;260.96099999999996;259.812;262.18500000000006;;18;296.8;295.9;296.6;296.0;295.8;296.3;295.6;295.9;296.2;296.5
19;262.669;261.783;262.18899999999996;262.524;260.78200000000004;260.337;262.107;261.216;261.33599999999996;261.171;;19;296.3;296.0;296.4;297.2;295.9;296.0;295.9;295.3;296.4;296.3
20;263.767;262.736;261.382;261.71100000000007;261.98999999999995;260.73900000000003;260.726;261.431;261.168;261.434;;20;296.8;296.7;295.9;296.6;296.7;296.3;296.0;295.8;297.1;296.2
21;261.76599999999996;262.079;262.245;262.481;261.13100000000003;261.64;262.233;261.404;260.885;262.739;;21;296.3;295.7;296.8;296.1;296.0;295.9;296.0;296.7;296.3;296.6
