Numer iteracji;œrednie wykorzystanie s³ów (pierwsza metoda);œrednie wykorzystanie s³ów (druga metoda);najwiêksza liczba u¿ytych wyrazów (pierwsza metoda);najwiêksza liczba u¿ytych wyrazów (druga metoda)
1;82.38366666666664;220.25799999999995;98.7;254.83333333333334
2;83.473;231.96900000000008;99.43333333333334;267.43333333333334
3;84.21000000000002;247.29966666666667;100.53333333333333;287.2
4;85.166;265.42966666666666;103.0;311.3
5;86.18166666666666;290.78299999999984;103.1;340.3
6;87.39800000000001;319.4330000000001;106.13333333333334;371.7
7;88.65133333333333;353.14933333333346;108.2;406.23333333333335
8;90.06033333333336;384.7263333333333;109.13333333333334;434.23333333333335
9;91.36200000000002;403.60400000000004;111.23333333333333;448.3333333333333
10;93.10933333333331;411.31633333333326;114.73333333333333;456.1333333333333
11;95.607;419.62766666666664;117.13333333333334;461.1
12;97.73899999999999;424.262;120.9;463.76666666666665
13;100.08466666666666;423.59166666666664;123.26666666666667;462.93333333333334
14;102.94000000000001;427.2866666666667;127.76666666666667;466.0
15;106.487;429.6973333333333;133.96666666666667;467.93333333333334
16;110.65699999999998;427.89566666666684;139.5;467.6
17;115.46299999999998;430.45900000000006;144.3;467.6666666666667
18;121.20366666666665;433.18366666666674;151.73333333333332;470.06666666666666
19;127.64466666666664;431.4886666666666;163.9;467.46666666666664
20;135.13566666666665;434.1486666666666;171.66666666666666;469.4
21;145.23399999999998;435.5163333333333;185.1;470.53333333333336
22;155.5496666666667;433.375;198.53333333333333;469.3333333333333
23;168.55833333333337;436.8046666666667;216.46666666666667;471.1333333333333
24;182.26199999999997;437.4253333333334;234.33333333333334;471.3
25;198.20633333333333;435.85466666666656;256.3333333333333;471.7
26;214.04899999999998;438.0509999999999;276.3666666666667;472.7
27;230.15366666666665;438.34299999999996;294.06666666666666;472.3666666666667
28;245.87399999999994;437.8036666666666;312.5;470.23333333333335
29;261.94800000000004;439.5049999999999;331.6;472.43333333333334
30;277.22733333333326;439.01566666666673;349.26666666666665;471.5
31;291.06766666666664;439.533;364.0;471.2
32;299.83200000000005;440.43000000000006;376.96666666666664;473.93333333333334
33;309.648;440.5863333333333;384.76666666666665;473.3666666666667
34;317.53800000000007;440.262;396.6333333333333;472.2
35;324.8406666666667;441.39000000000004;406.1666666666667;472.6333333333333
36;328.96600000000007;441.77733333333344;409.2;472.8
37;328.7556666666667;442.36100000000005;410.2;473.8666666666667
38;334.0646666666666;442.66933333333327;414.6333333333333;472.23333333333335
39;337.2656666666666;443.18000000000006;419.0;474.1333333333333
40;339.0993333333333;443.37466666666666;418.73333333333335;474.2
41;338.59600000000006;444.3213333333333;416.9;473.73333333333335
42;340.8976666666667;444.33233333333334;420.2;475.56666666666666
43;342.9933333333333;444.6253333333334;421.3666666666667;474.4
44;344.64199999999994;445.3103333333334;421.1666666666667;474.3333333333333
45;346.6190000000001;445.241;422.9;473.76666666666665
46;346.53899999999993;445.576;428.03333333333336;474.1666666666667
47;349.19;446.0113333333334;430.73333333333335;473.2
48;349.622;446.42566666666676;429.8333333333333;475.76666666666665
